corner_class,edge_class,canonical_a,canonical_b,sym,length
13,0,10,0,1,6
17,0,10,0,2,6
15,0,10,0,3,6
10,3,10,3,0,6
13,3,10,3,1,6
17,3,10,3,2,6
15,3,10,3,3,6
10,12,10,12,0,7
13,27,10,12,1,7
17,27,10,12,2,7
15,12,10,12,3,7
15,21,10,12,4,7
17,34,10,12,5,7
13,34,10,12,6,7
10,21,10,12,7,7
10,14,10,14,0,3
13,35,10,14,1,3
17,29,10,14,2,3
15,22,10,14,3,3
10,15,10,15,0,6
13,36,10,15,1,6
17,30,10,15,2,6
15,23,10,15,3,6
10,17,10,17,0,6
13,32,10,17,1,6
17,32,10,17,2,6
15,17,10,17,3,6
15,24,10,17,4,6
17,37,10,17,5,6
13,37,10,17,6,6
10,24,10,17,7,6
10,22,10,22,0,5
